district_name,,available_electric_bikes,available_mechanical_bikes,available_bikes,available_docks,status
Pantin,max,20.0,14.0,24.0,57.0,1.0
Paris,count,251094.0,251094.0,251094.0,251094.0,251094.0
Paris,mean,3.7842720256159046,7.136426995467833,10.920699021083738,20.104494731056896,0.9986777860084272
Paris,std,4.410213426241102,9.95337278543619,12.149102584273379,13.045387719405996,0.036338285603541465
Paris,min,0.0,0.0,0.0,0.0,0.0
Paris,25%,1.0,1.0,2.0,10.0,1.0
Paris,50%,2.0,3.0,6.0,19.0,1.0
Paris,75%,5.0,10.0,16.0,29.0,1.0
Paris,max,50.0,71.0,84.0,68.0,1.0
Puteaux,count,504.0,504.0,504.0,504.0,504.0
Puteaux,mean,6.373015873015873,5.509920634920635,11.882936507936508,16.017857142857142,1.0
Puteaux,std,4.559278878113899,4.4013260239428496,6.474616786555021,6.371038984730734,0.0
Puteaux,min,0.0,0.0,0.0,1.0,1.0
Puteaux,25%,2.0,2.0,6.0,11.0,1.0
Puteaux,50%,6.0,5.0,12.0,16.0,1.0
Puteaux,75%,11.0,9.0,17.0,22.0,1.0
Puteaux,max,17.0,17.0,26.0,28.0,1.0
Romainville,count,1008.0,1008.0,1008.0,1008.0,1008.0
Romainville,mean,4.693452380952381,0.7936507936507936,5.487103174603175,17.61111111111111,1.0
Romainville,std,4.777292031229901,1.5984971110332025,5.768784982993367,6.617928431051962,0.0
Romainville,min,0.0,0.0,0.0,2.0,1.0
Romainville,25%,1.0,0.0,1.0,13.0,1.0
Romainville,50%,3.0,0.0,3.0,16.0,1.0
Romainville,75%,7.0,1.0,8.0,24.0,1.0
Romainville,max,20.0,7.0,23.0,30.0,1.0
Rosny-sous-Bois,count,1010.0,1010.0,1010.0,1010.0,1010.0
Rosny-sous-Bois,mean,7.992079207920792,3.6445544554455447,11.636633663366336,12.822772277227722,1.0
Rosny-sous-Bois,std,5.979974562798566,2.582128686284276,7.362996744863575,4.07405144555083,0.0
Rosny-sous-Bois,min,0.0,0.0,1.0,2.0,1.0
